# Cross-series bitGANs attribute catalogue, transcribed from the artist Pindar Van Arman's
# own published journal page. 513 rows, columns Number,Title,Name,GANg,SubType,Type,Eyes,
# Dimensions,Essence,Drop,Level. This table spans several of the artist's NFT series; only
# 8 of its 513 rows belong to the cryptoArtGAN / Act 1 series that holds this puzzle's prize
# (GANg column == 'cryptoArtGAN'), so any count taken from this file alone is scoped to the
# catalogue, not to the 512-piece Act 1 series specifically. See the README for detail.
Number,Title,Name,GANg,SubType,Type,Eyes,Dimensions,Essence,Drop,Level
109,Slender Glitch skullGAN,,skullGAN,Slender,Glitch,3,4,assault,skullGANs,1
110,Rainbow skullGAN,,skullGAN,Rainbow,Skull,2,4,asset,skullGANs,1
111,Flaming skullGAN,,skullGAN,Flaming,Skull,2,3,assist,skullGANs,1
112,Primordial skullGAN,,skullGAN,Primordial,Skull,3,4,assume,skullGANs,1
113,Nebulous Cronenberg skullGAN,,skullGAN,Nebulous,Cronenberg,5,4,asthma,skullGANs,1
114,Rainbow skullGAN,,skullGAN,Rainbow,Skull,3,3,athlete,skullGANs,1
115,Flaming Glitch skullGAN,,skullGAN,Flaming,Glitch,3,4,atom,skullGANs,1
116,Flaming skullGAN,,skullGAN,Flaming,Skull,2,3,attack,skullGANs,1
117,Flaming Shimmer skullGAN,,skullGAN,Flaming,Shimmer,4,3,attend,skullGANs,1
118,Rainbow Shimmer skullGAN,,skullGAN,Rainbow,Shimmer,2,3,attitude,skullGANs,1
119,Flaming skullGAN,,skullGAN,Flaming,Skull,3,3,attract,skullGANs,1
120,Rainbow Cronenberg skullGAN,,skullGAN,Rainbow,Cronenberg,3,3,auction,skullGANs,1
121,Twin Smoke skullGAN,,skullGAN,Twin,Smoke,6,4,audit,skullGANs,1
122,Nebulous Cronenberg skullGAN,,skullGAN,Nebulous,Cronenberg,6,2,august,skullGANs,1
123,Flaming Cronenber skullGAN,,skullGAN,Flaming,Cronenberg,5,4,aunt,skullGANs,1
